path	parameter	part	value
bg	color	r	0.0
bg	color	g	0.0
bg	color	b	0.0
bg	color	a	1.0
treenet	diff	r	0.60586
treenet	diff	g	0.425488
treenet	diff	b	0.812
treenetfill	diff	r	0.41738101840019226
treenetfill	diff	g	0.5288666486740112
treenetfill	diff	b	0.7889999747276306
treepoint	color	r	0.32499998807907104
treepoint	color	g	0.5274999737739563
treepoint	color	b	1.0
